Identifiant du lieu;Année du tournage;Type de tournage;Titre;Réalisateur;Producteur;Localisation de la scène;Code postal;Date de début;Date de fin;Coordonnée en X;Coordonnée en Y;geo_shape;geo_point_2d
2017-1261;2017;Long métrage;La ch'tite famille;;PATHE FILMS SERVICES;43 avenue george v, 75008 paris;75008;2017-06-14;2017-06-15;2.3006762800000002;48.87040623;"{""coordinates"": [2.300676276422879, 48.87040622497257], ""type"": ""Point""}";48.87040622497257, 2.300676276422879
2020-823;2020;Long métrage;Army of the dead meanwhile in Germany;Matthias Schweighoffer;Firstep;place henri queuille, 75015 paris;75015;2020-11-04;2020-11-04;2.3111236;48.84518561;"{""coordinates"": [2.3111236017620618, 48.84518561293843], ""type"": ""Point""}";48.84518561293843, 2.3111236017620618
2017-893;2017;Long métrage;SUN;Jonathan Desoindre;Rouge International;66 avenue d'ivry, 75013 paris;75013;2017-11-08;2017-11-08;2.36401464;48.82434985;"{""coordinates"": [2.364014638985541, 48.824349850452904], ""type"": ""Point""}";48.824349850452904, 2.364014638985541
2018-1096;2018;Long métrage;Je voudrais que quelqu'un m'attende quelque part;Arnaud VIARD;Easy TIGER;35 boulevard de courcelles, 75008 paris;75008;2018-09-21;2018-09-21;2.31123909;48.88051652;"{""coordinates"": [2.311239089679554, 48.88051651542833], ""type"": ""Point""}";48.88051651542833, 2.311239089679554
2017-931;2017;Long métrage;Synonymes;Nadav Lapid;SBS FILMS;2b rue des ecoles, 75005 paris;75005;2017-11-22;2017-11-22;2.35224764;48.84771902;"{""coordinates"": [2.35224763570628, 48.84771901702296], ""type"": ""Point""}";48.84771901702296, 2.35224763570628
2018-1107;2018;Série TV;CANDICE RENOIR SAISON 7 Ep 62-63-64;Pascal Lahmani;BOXEUR 7;36 quai des orfèvres, 75001 paris;75001;2018-10-16;2018-10-16;2.3434385;48.85525622;"{""coordinates"": [2.343438497418155, 48.85525622232327], ""type"": ""Point""}";48.85525622232327, 2.343438497418155
2019-1534;2019;Long métrage;JE SUIS KARL;Christian Schwochow;ALCATRAZ FILMS;avenue de la porte de bagnolet, 75020 paris;75020;2019-11-12;2019-11-12;2.4111162;48.865014790000004;"{""coordinates"": [2.411116196920233, 48.86501478851981], ""type"": ""Point""}";48.86501478851981, 2.411116196920233
2018-1108;2018;Série TV;CANDICE RENOIR SAISON 7 Ep 62-63-64;Pascal Lahmani;BOXEUR 7;17 place dauphine, 75001 paris;75001;2018-10-16;2018-10-17;2.34215347;48.8564481;"{""coordinates"": [2.34215347433544, 48.856448100659385], ""type"": ""Point""}";48.856448100659385, 2.34215347433544
2019-1535;2019;Long métrage;JE SUIS KARL;Christian Schwochow;ALCATRAZ FILMS;27 rue faidherbe, 75011 paris;75011;2019-11-12;2019-11-12;2.38298106;48.85263394;"{""coordinates"": [2.382981062501914, 48.8526339364133], ""type"": ""Point""}";48.8526339364133, 2.382981062501914
2021-15;2021;Long métrage;FEU !!;Claire Denis;CURIOSA FILMS;43 rue simart, 75018 paris;75018;2021-01-25;2021-01-25;2.34638831;48.89188932;"{""coordinates"": [2.3463883132338452, 48.89188931888392], ""type"": ""Point""}";48.89188931888392, 2.3463883132338452
2018-904;2018;Série TV;Osmosis;Julis Berge - Philippe Larue;CAPA SERIES;rue watt, 75013 paris;75013;2018-07-31;2018-07-31;2.38006077;48.82700045;"{""coordinates"": [2.380060769582076, 48.827000447130686], ""type"": ""Point""}";48.827000447130686, 2.380060769582076
2021-39;2021;Long métrage;FEU!!;Claire Denis;Curiosa Films;23 place de catalogne, 75014 paris;75014;2021-01-19;2021-01-19;2.31774596;48.83742112;"{""coordinates"": [2.317745962934966, 48.837421114698586], ""type"": ""Point""}";48.837421114698586, 2.317745962934966
2018-929;2018;Long métrage;QUAND ON CRIE AU LOUP;Marilou Berry;Wonder Films;rue louis boilly, 75016 paris;75016;2018-08-14;2018-08-15;2.26675743;48.85925008;"{""coordinates"": [2.266757431353521, 48.859250077950215], ""type"": ""Point""}";48.859250077950215, 2.266757431353521
2016-735;2016;Série TV;L'ART DU CRIME;CHARLOTTE BRANDSTROM;GAUMONT TELEVISION;8  RUE  ANDRE ANTOINE;75018;2016-07-15;2016-07-15;2.337636;48.883103;"{""coordinates"": [2.337636000641516, 48.88310299979833], ""type"": ""Point""}";48.88310299979833, 2.337636000641516
2019-195;2019;Série TV;FAMILY BUSINESS S1;IGOR GOTESMAN;SAS LES FILMS DU KIOSQUE;rue de monttessuy, 75007 paris;75007;2019-02-19;2019-02-19;2.2992274200000002;48.85955205;"{""coordinates"": [2.2992274176450023, 48.85955204554805], ""type"": ""Point""}";48.85955204554805, 2.2992274176450023
2016-754;2016;Long métrage;120 BATTEMENTS PAR MINUTE;ROBIN CAMPILLO;LES FILMS DE PIERRE;6  RUE  CONDORCET;75009;2016-10-08;2016-10-08;2.348466;48.879577;"{""coordinates"": [2.348466000108974, 48.87957699981746], ""type"": ""Point""}";48.87957699981746, 2.348466000108974
2019-200;2019;Long métrage;Passion Simple;Danielle Arbid;LES FILMS PELLEAS;rue de grenelle, 75007 paris;75007;2019-02-26;2019-02-26;2.31384246;48.85833047;"{""coordinates"": [2.313842461121562, 48.858330472778576], ""type"": ""Point""}";48.858330472778576, 2.313842461121562
2016-775;2016;Téléfilm;NADIA;LEA MAZER;MURMURES PRODUCTIONS;4 ET 26  RUE  MARSOULAN;75012;2016-05-02;2016-05-02;2.403426;48.846926;"{""coordinates"": [2.40342599964405, 48.846925999874486], ""type"": ""Point""}";48.846925999874486, 2.40342599964405
2019-211;2019;Série TV;Le Bazar de la Charité;Alexandre Laurent;quad fantastico télévisons Le bazar de la Charité;35 boulevard de courcelles, 75008 paris;75008;2019-03-19;2019-03-19;2.31123909;48.88051652;"{""coordinates"": [2.311239089679554, 48.88051651542833], ""type"": ""Point""}";48.88051651542833, 2.311239089679554
2016-796;2016;Série TV;CHEFS - SAISON 2;ARNAUD MALHERBE;CALT PRODUCTION;3  RUE  BACHAUMONT;75002;2016-03-18;2016-03-18;2.34652;48.865846;"{""coordinates"": [2.3465200000700532, 48.86584599974931], ""type"": ""Point""}";48.86584599974931, 2.3465200000700532
2019-223;2019;Long métrage;DOCTEUR ?;Tristan SEGUELA;Unité de Production;90 avenue henri martin, 75116 paris;75116;2019-02-25;2019-02-26;2.27057405;48.86365343;"{""coordinates"": [2.270574045655998, 48.86365342510972], ""type"": ""Point""}";48.86365342510972, 2.270574045655998
2016-2290;2016;Long métrage;STARS 80 LA SUITE;THOMAS LANGMANN;LA PETITE REINE;QUAI  BOURBON;75004;2016-09-19;2016-09-19;2.355069;48.853036;"{""coordinates"": [2.355069000430317, 48.85303600003277], ""type"": ""Point""}";48.85303600003277, 2.355069000430317
2019-226;2019;Téléfilm;PARIS BREST;PHILIPPE LIORET;IMAGE ET COMPAGNIE;place de l'odéon, 75006 paris;75006;2019-03-15;2019-03-15;2.33900999;48.84997162;"{""coordinates"": [2.339009991428072, 48.84997161806543], ""type"": ""Point""}";48.84997161806543, 2.339009991428072
2016-2295;2016;Long métrage;COEXISTER;FABRICE EBOUE;EUROPA CORP;116  AVENUE  DU PRESIDENT KENNEDY (MAISON RADIO);75016;2016-11-14;2016-11-14;2.279515;48.85214;"{""coordinates"": [2.279514999997102, 48.85213999998911], ""type"": ""Point""}";48.85213999998911, 2.279514999997102
2019-590;2019;Série TV;VALIDÉ;FRANCK GASTAMBIDE;MANDARIN TELEVISION;7 rue galleron, 75020 paris;75020;2019-06-06;2019-06-08;2.40442419;48.8589633;"{""coordinates"": [2.404424187172526, 48.858963294626236], ""type"": ""Point""}";48.858963294626236, 2.404424187172526
2016-2297;2016;Long métrage;GAUGUIN;EDOUARD DELUC;MOVE MOVIE;3  RUE  BACHAUMONT;75002;2016-12-07;2016-12-07;2.34652;48.865846;"{""coordinates"": [2.3465200000700532, 48.86584599974931], ""type"": ""Point""}";48.86584599974931, 2.3465200000700532
2019-1545;2019;Long métrage;30 COINS;Alex de la Iglesia;LIONCEAU FILMS;19 place vendôme, 75001 paris;75001;2019-11-17;2019-11-19;2.32928037;48.86821602;"{""coordinates"": [2.3292803747988122, 48.86821602377801], ""type"": ""Point""}";48.86821602377801, 2.3292803747988122
2016-2298;2016;Long métrage;LE REDOUTABLE;MICHEL HAZANAVICIUS;LES COMPAGNONS DU CINEMA;CENTRE  MORLAND/SALLES 1030/2044 ET 2048;75004;2016-08-24;2016-08-24;2.365669;48.84726;"{""coordinates"": [2.365668999938309, 48.84726000024457], ""type"": ""Point""}";48.84726000024457, 2.365668999938309
2019-1558;2019;Série TV;MODERN FAMILY - Saison 11 - FINALE;Jim Bagdonas;FROGGIE PRODUCTION;77 rue galande, 75005 paris;75005;2019-11-16;2019-11-16;2.34650866;48.85204779;"{""coordinates"": [2.346508661759609, 48.85204779217568], ""type"": ""Point""}";48.85204779217568, 2.346508661759609
2016-2307;2016;Série TV;ALICE NEVERS, LE JUGE EST UNE FEMME/82 ET 83;ERIC LE ROUX;EGO PRODUCTION;18  RUE  VAUCQUELIN;75005;2016-03-25;2016-03-26;2.34698;48.84093;"{""coordinates"": [2.346980000522532, 48.84092999978856], ""type"": ""Point""}";48.84092999978856, 2.346980000522532
2019-1583;2019;Long métrage;Trois Fois Rien;Nadege Loiseau;SRAB FILMS;110 rue de meaux, 75019 paris;75019;2019-11-20;2019-11-20;2.3814239;48.88547259;"{""coordinates"": [2.381423899194307, 48.885472584922525], ""type"": ""Point""}";48.885472584922525, 2.381423899194307
2016-2339;2016;Série TV;10%/SAISON 2;JEANNE HERRY;MON VOISIN PRODUCTIONS;95  QUAI  DE SEINE;75019;2016-09-16;2016-09-16;2.373834;48.886466;"{""coordinates"": [2.3738340006627983, 48.886466000085655], ""type"": ""Point""}";48.886466000085655, 2.3738340006627983
2016-2594;2016;Série TV;10%/SAISON 2;JEANNE HERRY;MON VOISIN PRODUCTIONS;BOULEVARD  MORTIER;75020;2016-09-30;2016-09-30;2.408745;48.86958;"{""coordinates"": [2.408745000204127, 48.86957999962991], ""type"": ""Point""}";48.86957999962991, 2.408745000204127
2016-2359;2016;Long métrage;RAID DINGUE;DANY BOON;PATHE TELEVISION;RUE  JOSE MARIA HEREDIA;75007;2016-05-18;2016-05-18;2.307567;48.847833;"{""coordinates"": [2.307566999930494, 48.847833000441256], ""type"": ""Point""}";48.847833000441256, 2.307566999930494
2016-2635;2016;Long métrage;LA SAGE FEMME;MARTIN PROVOST;CURIOSA FILMS;27  RUE  WASHINGTON;75008;2016-04-07;2016-04-07;2.303342;48.873433;"{""coordinates"": [2.303341999697934, 48.873433000281274], ""type"": ""Point""}";48.873433000281274, 2.303341999697934
2020-850;2020;Série Web;SKAM 7-8;Shirley Monsarrat;GETEVE PRODUCTIONS - SKAM 7-8;15 passage du bureau, 75011 paris;75011;2020-11-13;2020-11-13;2.39305086;48.85499278;"{""coordinates"": [2.393050861814796, 48.85499277576883], ""type"": ""Point""}";48.85499277576883, 2.393050861814796
2016-2651;2016;Série TV;LEO MATTEI/14 ET 15;NICOLAS HERDT;LGM CINEMA;PONT  MORLAND;75004;2016-10-06;2016-10-06;2.365669;48.84726;"{""coordinates"": [2.365668999938309, 48.84726000024457], ""type"": ""Point""}";48.84726000024457, 2.365668999938309
2021-55;2021;Long métrage;LES PASSAGERS DE LA NUIT;Mikhaël HERS;NORD OUEST FILMS / LES PASSAGERS DE LA NUIT;27 rue de la bidassoa, 75020 paris;75020;2021-02-03;2021-02-03;2.3929745000000002;48.86659142;"{""coordinates"": [2.392974504634835, 48.866591417871824], ""type"": ""Point""}";48.866591417871824, 2.392974504634835
2016-2662;2016;Long métrage;WAR MACHINE;DAVID MICHOD;FIRSTEP;RUE  DE RIVOLI;75001;2016-01-30;2016-01-30;2.338081;48.861863;"{""coordinates"": [2.338080999447198, 48.86186300028196], ""type"": ""Point""}";48.86186300028196, 2.338080999447198
2021-56;2021;Long métrage;Être En Mouvement;Éric Gravel;Novoprod Cinéma EEM;80 avenue ledru-rollin, 75012 paris;75012;2021-01-25;2021-01-25;2.37484851;48.849936;"{""coordinates"": [2.374848507832497, 48.84993599475311], ""type"": ""Point""}";48.84993599475311, 2.374848507832497
2016-2664;2016;Long métrage;BEFIKRE;ADITYA CHOPRA;FIRSTEP;RUE  CARON;75004;2016-02-26;2016-02-26;2.362596;48.855157;"{""coordinates"": [2.362596000444799, 48.855157000413094], ""type"": ""Point""}";48.855157000413094, 2.362596000444799
2021-88;2021;Long métrage;STELLA EST AMOUREUSE;Sylvie Verheyde;ATELIER DE PRODUCTION;45 rue poliveau, 75005 paris;75005;2021-02-08;2021-02-08;2.35675936;48.83968343;"{""coordinates"": [2.356759361491976, 48.83968342835573], ""type"": ""Point""}";48.83968342835573, 2.356759361491976
2016-2675;2016;Long métrage;LA VIE DE CHATEAU;CEDRIC IDO;SRAB FILMS;RUE  DU FAUBOURG SAINT DENIS;75010;2016-08-18;2016-08-18;2.355602;48.875943;"{""coordinates"": [2.355601999567355, 48.8759430000883], ""type"": ""Point""}";48.8759430000883, 2.355601999567355
2021-100;2021;Long métrage;STELLA EST AMOUREUSE;Sylvie Verheyde;ATELIER DE PRODUCTION;4 rue des arènes, 75005 paris;75005;2021-02-08;2021-02-08;2.35420644;48.84511219;"{""coordinates"": [2.3542064419028152, 48.845112192168884], ""type"": ""Point""}";48.845112192168884, 2.3542064419028152
2020-1075;2020;Long métrage;LES FEMMES DU SQUARE;Julien Rambaldi;LES FILMS DU KIOSQUE;place lino ventura, 75009 paris;75009;2020-12-14;2020-12-14;2.34039707;48.88041089;"{""coordinates"": [2.340397069398467, 48.88041088750378], ""type"": ""Point""}";48.88041088750378, 2.340397069398467
2021-116;2021;Série Web;PLAN COEUR - SAISON 3;NOÉMIE SAGLIO;MY BOX FILMS;26 rue jacques louvel-tessier, 75010 paris;75010;2021-02-18;2021-02-22;2.3705217100000002;48.87128597;"{""coordinates"": [2.370521706879909, 48.87128596636852], ""type"": ""Point""}";48.87128596636852, 2.370521706879909
2020-1125;2020;Long métrage;STELLA EST AMOUREUSE;Sylvie Verheyde;ATELIER DE PRODUCTION;rue du bourg l'abbé, 75003 paris;75003;2020-12-22;2020-12-22;2.35267578;48.86378545;"{""coordinates"": [2.352675776885021, 48.86378544830964], ""type"": ""Point""}";48.86378544830964, 2.352675776885021
2016-805;2016;Long métrage;THE ESCAPE;DOMINIC SAVAGE;HANNA FILMS;RUE  SAINT JULIEN LE PAUVRE;75005;2016-10-20;2016-10-20;2.346983;48.852332;"{""coordinates"": [2.346983000424881, 48.85233199970835], ""type"": ""Point""}";48.85233199970835, 2.346983000424881
2020-1131;2020;Long métrage;STELLA EST AMOUREUSE;Sylvie Verheyde;ATELIER DE PRODUCTION;rue jean-marie jégo, 75013 paris;75013;2020-12-22;2020-12-22;2.35180084;48.82803308;"{""coordinates"": [2.351800843632251, 48.828033083971405], ""type"": ""Point""}";48.828033083971405, 2.351800843632251
