Identifiant du lieu;Année du tournage;Type de tournage;Titre;Réalisateur;Producteur;Localisation de la scène;Code postal;Date de début;Date de fin;Coordonnée en X;Coordonnée en Y;geo_shape;geo_point_2d
2020-404;2020;Long métrage;TOUT S'EST BIEN PASSE;Francois OZON;MANDARIN PRODUCTION;rue pascal, 75013 paris;75013;2020-08-20;2020-08-21;2.34831454;48.83566;"{""coordinates"": [2.348314535961912, 48.83566000015182], ""type"": ""Point""}";48.83566000015182, 2.348314535961912
2020-412;2020;Série Web;Ca ne va pas Supermarché;Pierre Briois et Théo Galampoix;CLCF (Conservatoire Libre du Cinéma Français);rue desprez, 75014 paris;75014;2020-08-23;2020-08-23;2.31552302;48.8347667;"{""coordinates"": [2.3155230203915282, 48.834766700812956], ""type"": ""Point""}";48.834766700812956, 2.3155230203915282
2020-417;2020;Long métrage;Une jeune fille qui va bien;Sandrine Kiberlain;CURIOSA FILMS;passage saint-paul, 75004 paris;75004;2020-08-31;2020-09-01;2.36169355;48.85453288;"{""coordinates"": [2.361693551812241, 48.854532879115084], ""type"": ""Point""}";48.854532879115084, 2.361693551812241
2020-434;2020;Téléfilm;BALTHAZAR 23 et 24;CAMILLE DELAMARRE ET FRANCK BRETT;BEAUBOURG STORIES;12 rue francis ponge, 75019 paris;75019;2020-09-04;2020-09-04;2.39465824;48.88213786;"{""coordinates"": [2.394658237731715, 48.882137854853696], ""type"": ""Point""}";48.882137854853696, 2.394658237731715
2019-1611;2019;Série TV;Alice NEVERS;julien ZIDI;EGO PRoductions;44 boulevard de la villette, 75019 paris;75019;2019-11-28;2019-11-28;2.37525331;48.8740954;"{""coordinates"": [2.37525330605596, 48.87409539688338], ""type"": ""Point""}";48.87409539688338, 2.37525330605596
2019-1631;2019;Long métrage;French Exit;Azazel Jacobs;Same Player;rue antoine vollon, 75012 paris;75012;2019-12-04;2019-12-04;2.37651854;48.85006698;"{""coordinates"": [2.376518535230019, 48.850066976220155], ""type"": ""Point""}";48.850066976220155, 2.376518535230019
2018-1312;2018;Long métrage;FIN DE MATINEE;Hiroshi NISHATANI;COMME DES CINEMAS;pont louis-philippe, 75004 paris;75004;2018-11-05;2018-11-05;2.35467939;48.85411246;"{""coordinates"": [2.354679386870978, 48.854112456125364], ""type"": ""Point""}";48.854112456125364, 2.354679386870978
2018-1324;2018;Long métrage;HORS NORMES;Eric Toledano et Olivier Nakache;ADNP QUAD FILMS;3 rue de castiglione, 75001 paris;75001;2018-11-05;2018-11-06;2.32744623;48.86574412;"{""coordinates"": [2.327446234271997, 48.86574411603937], ""type"": ""Point""}";48.86574411603937, 2.327446234271997
2019-275;2019;Long métrage;DOCTEUR ?;Tristan SEGUELA;Unité de Production;60 rue de romainville, 75019 paris;75019;2019-03-07;2019-03-12;2.40222019;48.8774605;"{""coordinates"": [2.402220186108582, 48.87746050395657], ""type"": ""Point""}";48.87746050395657, 2.402220186108582
2016-206;2016;Long métrage;JOUR J;REEM KHERICI;MANDARIN FILMS;70  RUE  DU RENDEZ VOUS;75012;2016-08-08;2016-08-08;2.40042;48.846921;"{""coordinates"": [2.400419999842282, 48.84692099973854], ""type"": ""Point""}";48.84692099973854, 2.400419999842282
2016-276;2016;Long métrage;LE REDOUTABLE;MICHEL HAZANAVICIUS;LES COMPAGNONS DU CINEMA;PLACE  DENFERT ROCHEREAU;75014;2016-08-08;2016-08-08;2.331199;48.833798;"{""coordinates"": [2.3311989998791702, 48.83379800034576], ""type"": ""Point""}";48.83379800034576, 2.3311989998791702
2016-294;2016;Série TV;PROFILAGE/N°72;SIMON ASTIER;BEAUBOUG AUDIOVISUEL;CHEMIN  CEINTURE DU LAC INFERIEUR/B.BOULOGNE;75016;2016-07-19;2016-07-19;2.261552;48.866603;"{""coordinates"": [2.261551999451395, 48.866602999687714], ""type"": ""Point""}";48.866602999687714, 2.261551999451395
2016-1829;2016;Long métrage;BEFIKRE;ADITYA CHOPRA;FIRSTEP;CITE  INTERNATIONALE DES ARTS;75004;2016-04-30;2016-04-30;2.358201;48.853405;"{""coordinates"": [2.35820099983797, 48.85340500029624], ""type"": ""Point""}";48.85340500029624, 2.35820099983797
2016-1831;2016;Long métrage;MARIE FRANCINE;VALERIE LEMERCIER;RECTANGLE PRODUCTIONS;55  RUE  RAYNOUARD;75016;2016-05-11;2016-05-11;2.280207;48.854972;"{""coordinates"": [2.280207000423661, 48.854971999688495], ""type"": ""Point""}";48.854971999688495, 2.280207000423661
2016-1860;2016;Long métrage;BEFIKRE;ADITYA CHOPRA;FIRSTEP;PONT  LOUIS PHILIPPE;75004;2016-05-20;2016-05-21;2.355793;48.855368;"{""coordinates"": [2.355792999719545, 48.85536799985887], ""type"": ""Point""}";48.85536799985887, 2.355792999719545
2020-444;2020;Série TV;Rebecca;Didier Le Pêcheurs;Elephant Story;11 rue paul strauss, 75020 paris;75020;2020-09-08;2020-09-08;2.40699121;48.86636248;"{""coordinates"": [2.406991209365245, 48.8663624772574], ""type"": ""Point""}";48.8663624772574, 2.406991209365245
2020-463;2020;Téléfilm;BALTHAZAR 23 et 24;CAMILLE DELAMARRE ET FRANCK BRETT;BEAUBOURG STORIES;4 rue des jardiniers, 75012 paris;75012;2020-09-11;2020-09-11;2.39568054;48.83396589;"{""coordinates"": [2.395680539613725, 48.83396588870804], ""type"": ""Point""}";48.83396588870804, 2.395680539613725
2019-292;2019;Long métrage;UN VOYAGE EN HIVER;Claus DREXLER;MANEKI FILMS;place madeleine braun, 75010 paris;75010;2019-03-15;2019-03-15;2.35959082;48.87574738;"{""coordinates"": [2.359590815515516, 48.875747374601566], ""type"": ""Point""}";48.875747374601566, 2.359590815515516
2019-294;2019;Long métrage;DOCTEUR ?;Tristan SEGUELA;Unité de Production;173 rue du faubourg poissonnière, 75009 paris;75009;2019-03-12;2019-03-16;2.34966426;48.88175903;"{""coordinates"": [2.349664260235551, 48.881759025756374], ""type"": ""Point""}";48.881759025756374, 2.349664260235551
2019-79;2019;Série TV;CLEM;Bénédicte DELMAS;MERLIN PRODUCTIONS;23 rue du général brunet, 75019 paris;75019;2019-01-21;2019-01-21;2.39120972;48.88090776;"{""coordinates"": [2.3912097163388, 48.88090776085297], ""type"": ""Point""}";48.88090776085297, 2.3912097163388
2019-1709;2019;Série TV;LA FUGUE;XAVIER DURRINGER;RAMONA PRODUCTIONS;165 boulevard de la villette, 75010 paris;75010;2019-12-05;2019-12-05;2.36553838;48.88411298;"{""coordinates"": [2.365538382607924, 48.884112982917124], ""type"": ""Point""}";48.884112982917124, 2.365538382607924
2018-1068;2018;Long métrage;LUZ;Flora LAU;AMA Productions;place de la concorde, 75008 paris;75008;2018-09-12;2018-09-13;2.32053484;48.8666995;"{""coordinates"": [2.320534842202644, 48.866699494682805], ""type"": ""Point""}";48.866699494682805, 2.320534842202644
2016-623;2016;Long métrage;JUST DIVORCED;MAXIME GOVARE;LES IMPRODUCTIBLES;3/5  PLACE  RHIN ET DANUBE;75019;2016-10-03;2016-10-03;2.393117;48.882182;"{""coordinates"": [2.393116999944475, 48.882181999993364], ""type"": ""Point""}";48.882181999993364, 2.393116999944475
2016-652;2016;Série TV;THE PACKAGE;CHANG KEUN CHUN;BH PARIS MEDIA PRODUCTIONS;2/53  RUE  RAMUS;75020;2016-10-19;2016-10-19;2.398048;48.863254;"{""coordinates"": [2.398047999562738, 48.863253999644655], ""type"": ""Point""}";48.863253999644655, 2.398047999562738
2016-679;2016;Série TV;THE PACKAGE;CHANG KEUN CHUN;BH PARIS MEDIA PRODUCTIONS;AVENUE  DE LA GRANDE ARMEE;75017;2016-10-15;2016-10-15;2.289138;48.876165;"{""coordinates"": [2.28913800000024, 48.87616499989014], ""type"": ""Point""}";48.87616499989014, 2.28913800000024
2016-2192;2016;Série TV;ALICE NEVERS, LE JUGE EST UNE FEMME/82 ET 83;ERIC LE ROUX;EGO PRODUCTION;7  RUE  DE L'ECHELLE;75001;2016-03-30;2016-03-30;2.334199;48.864024;"{""coordinates"": [2.3341989998706802, 48.86402400036109], ""type"": ""Point""}";48.86402400036109, 2.3341989998706802
2016-2193;2016;Série TV;LES HOMMES DE L'OMBRE;FRED GARSON;MACONDO;PASSERELLE*  DE LA MOSELLE;75019;2016-04-12;2016-04-12;2.391546;48.875537;"{""coordinates"": [2.3915460000300772, 48.87553699966618], ""type"": ""Point""}";48.87553699966618, 2.3915460000300772
2016-2194;2016;Série TV;UN CAFE AVEC...;SAMBA MBALLO;6 COM;46/176  BOULEVARD  MAX DORMOY;75018;2016-07-09;2016-07-09;2.35968;48.887296;"{""coordinates"": [2.359680000193619, 48.88729599966241], ""type"": ""Point""}";48.88729599966241, 2.359680000193619
2016-2207;2016;Long métrage;MARVIN;ANNE FONTAINE;CINE @;PLACE  DE L'ODEON;75006;2016-09-09;2016-09-09;2.33855;48.850038;"{""coordinates"": [2.33854999961945, 48.850038000012916], ""type"": ""Point""}";48.850038000012916, 2.33854999961945
2016-2222;2016;Long métrage;CARBONE;OLIVIER MARCHAL;LES FILMS MANUEL MUNZ;BOIS*  DE BOULOGNE;75016;2016-11-24;2016-11-29;2.286885;48.875133;"{""coordinates"": [2.286884999968946, 48.875133000370575], ""type"": ""Point""}";48.875133000370575, 2.286884999968946
2019-990;2019;Long métrage;Maoussi;Charlotte Schiøler;C.S. Productions;47 rue des couronnes, 75020 paris;75020;2019-08-07;2019-08-07;2.38495131;48.87032093;"{""coordinates"": [2.384951311750373, 48.87032093380937], ""type"": ""Point""}";48.87032093380937, 2.384951311750373
2019-29;2019;Série TV;FAMILY BUSINESS S1;IGOR GOTESMAN;LES FILMS DU KIOSQUE;8 rue charles-françois dupuis, 75003 paris;75003;2019-01-07;2019-01-12;2.36342138;48.86525082;"{""coordinates"": [2.363421380900864, 48.86525082069267], ""type"": ""Point""}";48.86525082069267, 2.363421380900864
2019-32;2019;Long métrage;Kizie aur Manny;Mukesh Chhabra;Jet Films Paris;23 boulevard de ménilmontant, 75011 paris;75011;2019-01-14;2019-01-14;2.38857652;48.85991932;"{""coordinates"": [2.388576517420491, 48.8599193200207], ""type"": ""Point""}";48.8599193200207, 2.388576517420491
2019-37;2019;Téléfilm;Des rêves au-dessus de leur tête;Arnaud Sélignac;SON ET LUMIERE;2 esplanade nathalie sarraute, 75018 paris;75018;2019-01-02;2019-01-04;2.3619804;48.8875757;"{""coordinates"": [2.361980400233941, 48.887575701113214], ""type"": ""Point""}";48.887575701113214, 2.361980400233941
2019-45;2019;Téléfilm;Des rêves au-dessus de leur tête;Arnaud Sélignac;SON ET LUMIERE;63q rue riquet, 75018 paris;75018;2019-01-11;2019-01-11;2.36346552;48.88981408;"{""coordinates"": [2.363465521129621, 48.889814081771455], ""type"": ""Point""}";48.889814081771455, 2.363465521129621
2019-46;2019;Série TV;Les Sauvages;Rebecca Zlotowski;CPB FILMS;16 rue des petites ecuries, 75010 paris;75010;2019-02-04;2019-02-06;2.35247341;48.87351428;"{""coordinates"": [2.352473405346446, 48.87351428276209], ""type"": ""Point""}";48.87351428276209, 2.352473405346446
2019-65;2019;Téléfilm;Des rêves au-dessus de leur tête;Arnaud Sélignac;SON ET LUMIERE;27 rue vineuse, 75116 paris;75116;2019-01-15;2019-01-15;2.28427875;48.8601654;"{""coordinates"": [2.284278753358724, 48.860165402958884], ""type"": ""Point""}";48.860165402958884, 2.284278753358724
2016-2268;2016;Série TV;FRACTAL;JEREMY MINUI;MIDNIGHT CUT;10  RUE  SAINT BERNARD;75011;2016-12-15;2016-12-15;2.381639;48.851097;"{""coordinates"": [2.381639000535453, 48.85109700036558], ""type"": ""Point""}";48.85109700036558, 2.381639000535453
2016-2277;2016;Long métrage;MON POUSSIN;FREDERIC FORESTIER;LES FILMS DU 24;RUE  LOBAU;75004;2016-03-16;2016-03-16;2.353258;48.856204;"{""coordinates"": [2.35325800039254, 48.856203999581254], ""type"": ""Point""}";48.856203999581254, 2.35325800039254
2018-1413;2018;Série TV;CANTABILE YOUTH;CHUN CHIEH;KOMEDIA FRANCE;passage sigaud, 75013 paris;75013;2018-11-21;2018-11-21;2.34839895;48.82799854;"{""coordinates"": [2.348398946608451, 48.82799854334737], ""type"": ""Point""}";48.82799854334737, 2.348398946608451
2019-1050;2019;Série TV;ENGRENAGES SAISON 8;Nicolas Guicheteau;SON ET LUMIERE;12 boulevard pershing, 75017 paris;75017;2019-09-09;2019-09-10;2.28463626;48.88148161;"{""coordinates"": [2.284636258114378, 48.881481606145954], ""type"": ""Point""}";48.881481606145954, 2.284636258114378
2018-1356;2018;Long métrage;FORTE;Katia LEWKOWICZ;QUAD FILMS;12 rue de berri, 75008 paris;75008;2018-11-13;2018-11-13;2.30443913;48.87249771;"{""coordinates"": [2.304439125703604, 48.87249771130735], ""type"": ""Point""}";48.87249771130735, 2.304439125703604
2018-1370;2018;Téléfilm;Temps de Chien;Edouard DELUC;THE FILM TV;10 villa gagliardini, 75020 paris;75020;2018-11-14;2018-11-14;2.40376759;48.87551458;"{""coordinates"": [2.403767586286027, 48.87551457849415], ""type"": ""Point""}";48.87551457849415, 2.403767586286027
2018-1380;2018;Long métrage;Voir le Jour;Stanley WOODWARD;LES FILMS DE LA NUIT;rue clisson, 75013 paris;75013;2018-11-14;2018-11-15;2.36637802;48.83137732;"{""coordinates"": [2.366378020253771, 48.83137731685392], ""type"": ""Point""}";48.83137731685392, 2.366378020253771
2019-687;2019;Série Web;Tournage Série Web;;SEO communication;24 rue edouard pailleron, 75019 paris;75019;2019-06-10;2019-06-10;2.37702218;48.88059547;"{""coordinates"": [2.377022184193208, 48.88059547269101], ""type"": ""Point""}";48.88059547269101, 2.377022184193208
2019-695;2019;Série TV;SAM Saison 4;Jean-Marc BRONDOLO;AUTENTIC PROD;40 rue le vau, 75020 paris;75020;2019-06-24;2019-06-24;2.41099327;48.86983569;"{""coordinates"": [2.41099327340417, 48.86983569190716], ""type"": ""Point""}";48.86983569190716, 2.41099327340417
2019-700;2019;Long métrage;Madame Claude;Sylvie VERHEYDE;Les Compagnons du Cinéma;route de la muette à neuilly, 75116 paris;75116;2019-06-17;2019-06-17;2.26542145;48.86850804;"{""coordinates"": [2.265421450819014, 48.86850803583523], ""type"": ""Point""}";48.86850803583523, 2.265421450819014
2019-1046;2019;Série TV;ENGRENAGES SAISON 8;Nicolas Guicheteau;SON ET LUMIERE;1 rue le sueur, 75116 paris;75116;2019-09-11;2019-09-11;2.28783345;48.87368581;"{""coordinates"": [2.287833448736682, 48.87368581296793], ""type"": ""Point""}";48.87368581296793, 2.287833448736682
2019-1300;2019;Long métrage;LES CHOSES QU'ON DIT, LES CHOSES QU'ON FAIT;EMMANUEL MOURET;MOBY DICK FILMS;quai de bourbon, 75004 paris;75004;2019-10-31;2019-10-31;2.35377471;48.85348112;"{""coordinates"": [2.353774709922935, 48.85348112012813], ""type"": ""Point""}";48.85348112012813, 2.353774709922935
2018-1382;2018;Long métrage;Voir le Jour;Stanley WOODWARD;LES FILMS DE LA NUIT;93 rue de tolbiac, 75013 paris;75013;2018-11-13;2018-11-13;2.36622892;48.82683024;"{""coordinates"": [2.366228920098841, 48.826830237206664], ""type"": ""Point""}";48.826830237206664, 2.366228920098841
2018-1400;2018;Long métrage;HORS NORMES;Eric Toledano et Olivier Nakache;ADNP QUAD FILMS;132 boulevard de la villette, 75019 paris;75019;2018-11-14;2018-11-14;2.37057435;48.87865524;"{""coordinates"": [2.370574346439601, 48.878655237576275], ""type"": ""Point""}";48.878655237576275, 2.370574346439601
2018-1409;2018;Série TV;CANTABILE YOUTH;CHUN CHIEH;KOMEDIA FRANCE;1 place boieldieu, 75002 paris;75002;2018-11-24;2018-11-25;2.3376554;48.87067117;"{""coordinates"": [2.337655399848819, 48.87067117300442], ""type"": ""Point""}";48.87067117300442, 2.337655399848819
2018-1505;2018;Long métrage;DEUX MOI;CEDRIC KLAPISCH;CE QUI ME MEUT;26 rue de sèvres, 75007 paris;75007;2018-12-06;2018-12-06;2.32380674;48.85022416;"{""coordinates"": [2.323806738722336, 48.850224154291865], ""type"": ""Point""}";48.850224154291865, 2.323806738722336
2018-1510;2018;Long métrage;LE MEILLEUR RESTE À VENIR;Matthieu DELAPORTE et Alexandre DE LA PATELLIÈRE;CHAPTER 2;2 rue turgot, 75009 paris;75009;2018-12-03;2018-12-06;2.34563865;48.87988847;"{""coordinates"": [2.345638651005026, 48.87988846874771], ""type"": ""Point""}";48.87988846874771, 2.345638651005026
2019-1114;2019;Long métrage;Seize Printemps;Suzanne Lindon;Avenue B Productions;48 rue d'orsel, 75018 paris;75018;2019-09-20;2019-09-20;2.34212026;48.88356187;"{""coordinates"": [2.342120260645018, 48.88356186886989], ""type"": ""Point""}";48.88356186886989, 2.342120260645018
2019-1408;2019;Série TV;Emily in Paris;Darren Star;NW2020;172 boulevard saint-germain, 75006 paris;75006;2019-10-17;2019-10-17;2.33256066;48.85413489;"{""coordinates"": [2.332560661293841, 48.85413488409174], ""type"": ""Point""}";48.85413488409174, 2.332560661293841
2018-767;2018;Téléfilm;Mystère à la Sorbonne;Lea FAZER;THALIE IMAGES;292 rue saint-martin, 75003 paris;75003;2018-07-02;2018-07-03;2.35464139;48.86697241;"{""coordinates"": [2.354641390601379, 48.86697241129094], ""type"": ""Point""}";48.86697241129094, 2.354641390601379
2018-1485;2018;Long métrage;PLACE DES VICTOIRES;Yoann Guillouzouic;WHITE PANAMA FILMS;rue poulet, 75018 paris;75018;2018-12-05;2018-12-05;2.34950474;48.88727221;"{""coordinates"": [2.349504743436105, 48.88727220420825], ""type"": ""Point""}";48.88727220420825, 2.349504743436105
2018-882;2018;Série TV;EDEN;DOMINIK MOLL;ATLANTIQUE PRODUCTIONS;25 rue d'alsace, 75010 paris;75010;2018-08-09;2018-08-09;2.35822059;48.87799023;"{""coordinates"": [2.35822059419438, 48.87799023335912], ""type"": ""Point""}";48.87799023335912, 2.35822059419438
2018-1560;2018;Long métrage;PLACE DES VICTOIRES;Yoann Guillouzouic;WHITE PANAMA FILMS;pont au change, 75004 paris;75004;2018-12-18;2018-12-18;2.34705265;48.85707905;"{""coordinates"": [2.347052654689846, 48.85707904632761], ""type"": ""Point""}";48.85707904632761, 2.347052654689846
2019-173;2019;Long métrage;IBRAHIM;SAMIR GUESMI;WHY NOT PRODUCTIONS;29 boulevard auguste blanqui, 75013 paris;75013;2019-02-22;2019-02-22;2.35255868;48.83011648;"{""coordinates"": [2.352558675604982, 48.83011647720049], ""type"": ""Point""}";48.83011647720049, 2.352558675604982
2019-515;2019;Série TV;PLATANE SAISON 3;ERIC JUDOR;4 MECS EN BASKETS;9 avenue hoche, 75008 paris;75008;2019-05-20;2019-05-20;2.30375968;48.8772123;"{""coordinates"": [2.303759678812939, 48.87721229780744], ""type"": ""Point""}";48.87721229780744, 2.303759678812939
2019-522;2019;Série TV;The Eddy;Damien Chazelle;atlantique productions;28 boulevard jourdan, 75014 paris;75014;2019-05-23;2019-05-24;2.33460715;48.82142413;"{""coordinates"": [2.3346071504113572, 48.82142412593098], ""type"": ""Point""}";48.82142412593098, 2.3346071504113572
2018-819;2018;Série TV;Munch  saison 2;frederic Berthe;EXILENE;rue thomas mann, 75013 paris;75013;2018-07-13;2018-07-13;2.37816066;48.82917268;"{""coordinates"": [2.378160659112846, 48.82917268294525], ""type"": ""Point""}";48.82917268294525, 2.378160659112846
2018-1520;2018;Long métrage;LE MEILLEUR RESTE À VENIR;Matthieu DELAPORTE et Alexandre DE LA PATELLIÈRE;CHAPTER 2;1b rue lallier, 75009 paris;75009;2018-12-06;2018-12-06;2.34090204;48.88137903;"{""coordinates"": [2.340902040775606, 48.88137903008482], ""type"": ""Point""}";48.88137903008482, 2.340902040775606
2018-1524;2018;Long métrage;FORTE;Katia LEWKOWICZ;QUAD FILMS;62 rue de ménilmontant, 75020 paris;75020;2018-11-29;2018-11-29;2.38906034;48.86832409;"{""coordinates"": [2.389060335030983, 48.86832408885111], ""type"": ""Point""}";48.86832408885111, 2.389060335030983
2018-1527;2018;Téléfilm;ASTRID;Elsa Bennett - Hippolyte Dard;JLA;166 rue du faubourg poissonnière, 75010 paris;75010;2018-12-06;2018-12-06;2.34977118;48.88246546;"{""coordinates"": [2.349771181350959, 48.88246545515271], ""type"": ""Point""}";48.88246545515271, 2.349771181350959
2018-1529;2018;Téléfilm;ASTRID;Elsa Bennett - Hippolyte Dard;JLA;36 rue des saules, 75018 paris;75018;2018-12-13;2018-12-13;2.34032593;48.88988145;"{""coordinates"": [2.3403259349315553, 48.88988144669496], ""type"": ""Point""}";48.88988144669496, 2.3403259349315553
2018-1531;2018;Long métrage;PLACE DES VICTOIRES;Yoann Guillouzouic;WHITE PANAMA FILMS;12 rue d'aumale, 75009 paris;75009;2018-12-12;2018-12-13;2.3363258;48.87811832;"{""coordinates"": [2.3363257985798542, 48.87811832369199], ""type"": ""Point""}";48.87811832369199, 2.3363257985798542
2019-490;2019;Série TV;The Eddy;Damien Chazelle;atlantique productions;5 avenue du professeur andré lemierre, 75020 paris;75020;2019-05-16;2019-05-17;2.41474283;48.85660117;"{""coordinates"": [2.414742827424514, 48.85660117302815], ""type"": ""Point""}";48.85660117302815, 2.414742827424514
2019-1459;2019;Long métrage;Garçon chiffon;Nicolas Maury;CG Cinéma;116 rue du faubourg poissonnière, 75010 paris;75010;2019-10-29;2019-10-30;2.34952048;48.87941144;"{""coordinates"": [2.349520475481278, 48.879411438006684], ""type"": ""Point""}";48.879411438006684, 2.349520475481278
2019-1462;2019;Long métrage;LES DEUX ALFRED;Bruno Podalydès;WHY NOT PRODUCTIONS;rue charles moureu, 75013 paris;75013;2019-10-30;2019-11-01;2.3624259;48.82758218;"{""coordinates"": [2.362425901424089, 48.82758218005291], ""type"": ""Point""}";48.82758218005291, 2.362425901424089
2019-1499;2019;Long métrage;Trois Fois Rien;Nadege Loiseau;SRAB FILMS;8 rue petit, 75019 paris;75019;2019-11-20;2019-11-20;2.3801470399999998;48.88464413;"{""coordinates"": [2.380147043973975, 48.88464413285793], ""type"": ""Point""}";48.88464413285793, 2.380147043973975
2018-870;2018;Série TV;Osmosis;Julius Berg;CAPA SERIES;9 avenue victoria, 75004 paris;75004;2018-07-25;2018-07-26;2.34942749;48.85710395;"{""coordinates"": [2.349427492270856, 48.857103951553036], ""type"": ""Point""}";48.857103951553036, 2.349427492270856
2018-1274;2018;Long métrage;DEUX MOI;CEDRIC KLAPISCH;CE QUI ME MEUT;parvis notre-dame place jean-paul ii, 75004 paris;75004;2018-10-26;2018-10-26;2.34742343;48.85356537;"{""coordinates"": [2.347423428584992, 48.853565364492596], ""type"": ""Point""}";48.853565364492596, 2.347423428584992
2018-1275;2018;Long métrage;Le Dindon;Jalil Lespert;CINEFRANCE STUDIOS;25 rue boyer, 75020 paris;75020;2018-10-18;2018-10-18;2.39205086;48.8686771;"{""coordinates"": [2.392050855655529, 48.868677098430865], ""type"": ""Point""}";48.868677098430865, 2.392050855655529
2018-1290;2018;Long métrage;L ANGLE MORT;PIERRE TRIVIDIC ET PATRICK MARIO BERNARD;EX NIHILO;place des fêtes, 75019 paris;75019;2018-11-01;2018-11-01;2.39218152;48.87722217;"{""coordinates"": [2.39218152210659, 48.87722216603906], ""type"": ""Point""}";48.87722216603906, 2.39218152210659
2019-258;2019;Série TV;BALTHAZAR 7,8;VINCENT JAMAIN;BEAUBOURG STORIES;boulevard bourdon, 75004 paris;75004;2019-03-15;2019-03-15;2.36783389;48.85208776;"{""coordinates"": [2.36783388683111, 48.852087761198796], ""type"": ""Point""}";48.852087761198796, 2.36783388683111
2019-530;2019;Long métrage;En attendant qui ? Mai;Marc RECUENCO;SerialBstudio;101 rue des dames, 75017 paris;75017;2019-06-06;2019-06-07;2.31806583;48.88293095;"{""coordinates"": [2.318065825697751, 48.88293095286766], ""type"": ""Point""}";48.88293095286766, 2.318065825697751
2019-540;2019;Long métrage;TOUT SIMPLEMENT NOIR;JEAN PASCAL ZADI ET JOHN WAXXX;GAUMONT;4 rue de la montagne sainte-geneviève, 75005 paris;75005;2019-05-23;2019-05-23;2.34857074;48.84947337;"{""coordinates"": [2.348570741889634, 48.84947336962946], ""type"": ""Point""}";48.84947336962946, 2.348570741889634
2019-1501;2019;Série TV;Emily in Paris;Darren Star;NW2020;2 rue de l'abbaye, 75006 paris;75006;2019-11-05;2019-11-05;2.33601756;48.85402083;"{""coordinates"": [2.33601756078671, 48.85402083235489], ""type"": ""Point""}";48.85402083235489, 2.33601756078671
2019-1508;2019;Série TV;Dix pour cent - Saison 4;Antoine GARCEAU - Marc FITOUSSI;Mon Voisin productions;27 rue buffon, 75005 paris;75005;2019-11-13;2019-11-15;2.36069816;48.84234122;"{""coordinates"": [2.360698155296134, 48.84234122400654], ""type"": ""Point""}";48.84234122400654, 2.360698155296134
2017-358;2017;Série Web;MIAMI VINE;Clément Pillet et Julien Arnardi;CITIZEN PRODUCTIONS;avenue raphaël, 75016 paris;75016;2017-09-15;2017-09-15;2.2677411100000002;48.86172048;"{""coordinates"": [2.267741113024254, 48.861720481748996], ""type"": ""Point""}";48.861720481748996, 2.267741113024254
2017-107;2017;Long métrage;D'après une histoire vraie;;WY Productions;35 boulevard de courcelles, 75008 paris;75008;2017-03-13;2017-03-13;2.31123909;48.88051652;"{""coordinates"": [2.311239089679554, 48.88051651542833], ""type"": ""Point""}";48.88051651542833, 2.311239089679554
2017-109;2017;Série TV;L'art du crime;Eric Woreth;GAUMONT TELEVISION c/o GAUMONT PRODUCTION TELEVISION;rue du rocher, 75008 paris;75008;2017-03-30;2017-03-31;2.32165966;48.87685894;"{""coordinates"": [2.321659663261832, 48.876858939898995], ""type"": ""Point""}";48.876858939898995, 2.321659663261832
2017-117;2017;Série TV;L'art du crime;Eric Woreth;GAUMONT TELEVISION c/o GAUMONT PRODUCTION TELEVISION;place de l'abbé georges hénocque, 75013 paris;75013;2017-03-31;2017-03-31;2.3531962;48.82403753;"{""coordinates"": [2.353196198984079, 48.82403752648501], ""type"": ""Point""}";48.82403752648501, 2.353196198984079
2017-188;2017;Long métrage;Un cadeau du ciel;;Legendaire;rue de la corderie, 75003 paris;75003;2017-03-16;2017-03-17;2.36292989;48.86530612;"{""coordinates"": [2.362929886645047, 48.865306123179764], ""type"": ""Point""}";48.865306123179764, 2.362929886645047
2019-1527;2019;Long métrage;LES CHOSES QU'ON DIT, LES CHOSES QU'ON FAIT;EMMANUEL MOURET;MOBY DICK FILMS;8 rue du sabot, 75006 paris;75006;2019-11-07;2019-11-07;2.33146569;48.8526636;"{""coordinates"": [2.331465692120608, 48.852663603946624], ""type"": ""Point""}";48.852663603946624, 2.331465692120608
2017-212;2017;Téléfilm;Diana, 20 ans aprés;Manuel Laigre;Kaliste Productions;7 rue lord byron, 75008 paris;75008;2017-03-23;2017-03-23;2.30074805;48.8729839;"{""coordinates"": [2.300748051454511, 48.87298389413692], ""type"": ""Point""}";48.87298389413692, 2.300748051454511
2017-218;2017;Long métrage;LUCKY;MIA ENGBERG;LA VOIE LACTEE;9 rue cardinal mercier, 75009 paris;75009;2017-03-31;2017-04-01;2.32974413;48.88122074;"{""coordinates"": [2.329744126479516, 48.88122073720199], ""type"": ""Point""}";48.88122073720199, 2.329744126479516
2017-225;2017;Long métrage;BIG BANG;CECILIA ROUAUD;FIRELIGHT;place saint-georges, 75009 paris;75009;2017-04-10;2017-04-11;2.33754725;48.87847724;"{""coordinates"": [2.33754724842027, 48.8784772415725], ""type"": ""Point""}";48.8784772415725, 2.33754724842027
2017-243;2017;Téléfilm;JE NE SUIS PAS UN HOMME FACILE;ELEONORE POURRIAT;FILM INVADERS;16 rue de phalsbourg, 75017 paris;75017;2017-03-30;2017-03-30;2.3091125200000002;48.88218861;"{""coordinates"": [2.309112519909656, 48.88218860897721], ""type"": ""Point""}";48.88218860897721, 2.309112519909656
